#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
411_CC_GRW_HUN_F	-0.0614166	-0.00393742	0.0167858	-0.0448547	0.0267558	-0.0123477	0.00260029	-0.0250874	-0.00799003	0.0187851
412_CC_GRW_HUN_F	-0.0654203	-0.0024938	0.0542453	-0.156557	0.0892944	-0.116425	0.0405012	0.0836978	0.0348857	-0.0982441
413_CC_GRW_HUN_F	-0.0614821	-0.00356148	0.0283804	-0.0738704	0.0493293	-0.0393817	0.0101197	-0.0308299	0.00356907	-0.0183139
414_CC_GRW_HUN_F	-0.0614127	-0.000718631	0.0354418	-0.0807199	0.0446402	-0.0323453	0.00924471	-0.0115983	0.00308214	-0.0548367
415_CC_GRW_HUN_F	-0.0651323	-0.0009726	0.0457822	-0.137277	0.0832889	-0.0993624	0.0315962	0.0651055	0.000360652	-0.153103
416_CC_GRW_HUN_F	-0.0640124	-0.0019008	0.0356602	-0.0831707	0.0421689	-0.0270319	0.00329846	-0.00298482	-0.00218949	-0.02666
417_CC_GRW_HUN_F	-0.0646855	-0.00174949	0.0507431	-0.166705	0.0994164	-0.129538	0.0483949	0.115877	-0.00490041	-0.284412
418_CC_GRW_HUN_F	-0.062208	-0.003438	0.0238842	-0.0713491	0.041028	-0.0345513	0.00662838	0.0109631	0.0132168	0.0248108
419_CC_GRW_HUN_F	-0.0637091	-0.00245979	0.027925	-0.0847639	0.0431016	-0.0493995	0.0141246	0.0108029	-0.0224328	-0.0921369
420_CC_GRW_HUN_F	-0.0605968	-0.00122281	0.0252541	-0.055958	0.0288078	-0.0120014	-0.000867449	-0.0333441	0.00385883	-0.0137473
422_CC_GRW_HUN_F	-0.0625895	-0.00285374	0.03603	-0.115471	0.0745528	-0.0727975	0.0292296	0.0323855	-0.016068	-0.0710922
423_CC_GRW_HUN_F	-0.0637366	-0.00164609	0.0350976	-0.120328	0.0734005	-0.0889154	0.028453	0.0817676	0.0505834	0.0648325
424_CC_GRW_HUN_F	-0.062427	-0.00429183	0.0320535	-0.074715	0.0451711	-0.0262572	0.0106633	-0.0203191	0.00765262	-0.00173947
426_CC_GRW_HUN_F	-0.0592732	-0.00106859	0.0284056	-0.0312096	0.0190498	0.00710898	-0.00325476	-0.0284304	-0.00437384	-0.0136868
427_CC_GRW_HUN_F	-0.0610272	-0.00100634	0.0210997	-0.0489412	0.0291282	-0.0135363	0.00234631	-0.0269199	-0.0109006	-0.0562601
428_CC_GRW_HUN_F	-0.0628662	-0.00271897	0.0354698	-0.106435	0.0565697	-0.0683042	0.0277483	0.0265073	0.029236	-0.0239157
429_CC_GRW_HUN_F	-0.0633195	-0.00158909	0.0439975	-0.136397	0.0797946	-0.104293	0.0410611	0.0669886	0.0266375	-0.0808484
430_CC_GRW_HUN_F	-0.0617818	-0.00524189	0.0221796	-0.0564498	0.0296722	-0.0104021	-0.00386339	-0.0300828	0.00274562	-0.0355895
